company_name,phone_number,email,website,main_activity,location,products,region,detail_url
فرع مصنع شركة القدرة لصناعة المنتجات الإسمنتية الجاهزة,2022 762,,,,,,Makkah Region,https://companysa.net/%D9%81%D8%B1%D8%B9-%D9%85%D8%B5%D9%86%D8%B9-%D8%B4%D8%B1%D9%83%D8%A9-%D8%A7%D9%84%D9%82%D8%AF%D8%B1%D8%A9-%D9%84%D8%B5%D9%86%D8%A7%D8%B9%D8%A9-%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%AC%D8%A7%D8%AA-%D8%A7/
مصنع طاهر محمد العيدروس للبرادات وثلاجات العرض,2022 628,,,,,,Makkah Region,https://companysa.net/%D9%85%D8%B5%D9%86%D8%B9-%D8%B7%D8%A7%D9%87%D8%B1-%D9%85%D8%AD%D9%85%D8%AF-%D8%A7%D9%84%D8%B9%D9%8A%D8%AF%D8%B1%D9%88%D8%B3-%D9%84%D9%84%D8%A8%D8%B1%D8%A7%D8%AF%D8%A7%D8%AA-%D9%88%D8%AB%D9%84%D8%A7%D8/
مصنع جوار الخير للمنتجات البلاستيكية,,,,,,,Makkah Region,https://companysa.net/%D9%85%D8%B5%D9%86%D8%B9-%D8%AC%D9%88%D8%A7%D8%B1-%D8%A7%D9%84%D8%AE%D9%8A%D8%B1-%D9%84%D9%84%D9%85%D9%86%D8%AA%D8%AC%D8%A7%D8%AA-%D8%A7%D9%84%D8%A8%D9%84%D8%A7%D8%B3%D8%AA%D9%8A%D9%83%D9%8A%D8%A9/
شركة الغندورة لصناعة البلاستيك,0126380038,,,,,,Makkah Region,https://companysa.net/%D8%B4%D8%B1%D9%83%D8%A9-%D8%A7%D9%84%D8%BA%D9%86%D8%AF%D9%88%D8%B1%D8%A9-%D9%84%D8%B5%D9%86%D8%A7%D8%B9%D8%A9-%D8%A7%D9%84%D8%A8%D9%84%D8%A7%D8%B3%D8%AA%D9%8A%D9%83/
مصنع الأسقف السعودية,2022 795,,,,,,Makkah Region,https://companysa.net/%D9%85%D8%B5%D9%86%D8%B9-%D8%A7%D9%84%D8%A3%D8%B3%D9%82%D9%81-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9/
شركة نمو المتقدمة للصناعة,2022 949,,,,,,Makkah Region,https://companysa.net/%D8%B4%D8%B1%D9%83%D8%A9-%D9%86%D9%85%D9%88-%D8%A7%D9%84%D9%85%D8%AA%D9%82%D8%AF%D9%85%D8%A9-%D9%84%D9%84%D8%B5%D9%86%D8%A7%D8%B9%D8%A9/
مصنع البداية للبلاستيك,2022 944,,,,,,Makkah Region,https://companysa.net/%D9%85%D8%B5%D9%86%D8%B9-%D8%A7%D9%84%D8%A8%D8%AF%D8%A7%D9%8A%D8%A9-%D9%84%D9%84%D8%A8%D9%84%D8%A7%D8%B3%D8%AA%D9%8A%D9%83/
شركة أفضل المختارات للصناعة,2022 906,,,,,,Makkah Region,https://companysa.net/%D8%B4%D8%B1%D9%83%D8%A9-%D8%A3%D9%81%D8%B6%D9%84-%D8%A7%D9%84%D9%85%D8%AE%D8%AA%D8%A7%D8%B1%D8%A7%D8%AA-%D9%84%D9%84%D8%B5%D9%86%D8%A7%D8%B9%D8%A9/
شركة المصنع الفني المميز للصناعات المحدودة,2022 614,,,,,,Makkah Region,https://companysa.net/%D8%B4%D8%B1%D9%83%D8%A9-%D8%A7%D9%84%D9%85%D8%B5%D9%86%D8%B9-%D8%A7%D9%84%D9%81%D9%86%D9%8A-%D8%A7%D9%84%D9%85%D9%85%D9%8A%D8%B2-%D9%84%D9%84%D8%B5%D9%86%D8%A7%D8%B9%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8/
شركة عبدالله بكر رضوان وشركاه ( الرضوان للخرسانه الجاهزه ),2022 484,,,,,,Makkah Region,https://companysa.net/%D8%B4%D8%B1%D9%83%D8%A9-%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87-%D8%A8%D9%83%D8%B1-%D8%B1%D8%B6%D9%88%D8%A7%D9%86-%D9%88%D8%B4%D8%B1%D9%83%D8%A7%D9%87-%28-%D8%A7%D9%84%D8%B1%D8%B6%D9%88%D8%A7%D9/
